complaint_id,category,priority,reason,flag
AM-202401,Other,Standard,Classified as Other because description does not contain keywords matching any specific category.,NEEDS_REVIEW
AM-202402,Other,Standard,Classified as Other because description does not contain keywords matching any specific category.,NEEDS_REVIEW
AM-202405,Other,Standard,Classified as Other because description does not contain keywords matching any specific category.,NEEDS_REVIEW
AM-202406,Other,Standard,"Classified as Other because description contains conflicting keywords 'broken', 'heat' matching multiple categories.",NEEDS_REVIEW
AM-202407,Road Damage,Urgent,Classified as Road Damage because description contains 'broken'.,
AM-202410,Pothole,Standard,Classified as Pothole because description contains 'pothole'.,
AM-202414,Other,Standard,Classified as Other because description does not contain keywords matching any specific category.,NEEDS_REVIEW
AM-202417,Other,Standard,"Classified as Other because description contains conflicting keywords 'heritage', 'waste' matching multiple categories.",NEEDS_REVIEW
AM-202421,Other,Standard,Classified as Other because description does not contain keywords matching any specific category.,NEEDS_REVIEW
AM-202424,Road Damage,Standard,Classified as Road Damage because description contains 'road'.,
AM-202429,Other,Standard,Classified as Other because description does not contain keywords matching any specific category.,NEEDS_REVIEW
AM-202431,Other,Standard,"Classified as Other because description contains conflicting keywords 'heritage', 'road' matching multiple categories.",NEEDS_REVIEW
AM-202435,Other,Standard,"Classified as Other because description contains conflicting keywords 'heat', 'road' matching multiple categories.",NEEDS_REVIEW
AM-202444,Waste,Standard,"Classified as Waste because description contains 'waste', 'overflowing'.",
AM-202445,Road Damage,Standard,Classified as Road Damage because description contains 'broken'.,
