Ward,Category,Period,Actual Spend (Lakh),Growth,Formula
Ward 2 – Shivajinagar,Drainage & Flooding,2024-01,10.9,N/A,No data found for 2023-01
Ward 2 – Shivajinagar,Drainage & Flooding,2024-02,10.4,N/A,No data found for 2023-02
Ward 2 – Shivajinagar,Drainage & Flooding,2024-03,NULL,FLAGGED_NULL,NULL value detected due to: 'Data not submitted by ward office' — Computation Skipped
Ward 2 – Shivajinagar,Drainage & Flooding,2024-04,10.0,N/A,No data found for 2023-04
Ward 2 – Shivajinagar,Drainage & Flooding,2024-05,10.2,N/A,No data found for 2023-05
Ward 2 – Shivajinagar,Drainage & Flooding,2024-06,12.3,N/A,No data found for 2023-06
Ward 2 – Shivajinagar,Drainage & Flooding,2024-07,12.6,N/A,No data found for 2023-07
Ward 2 – Shivajinagar,Drainage & Flooding,2024-08,12.8,N/A,No data found for 2023-08
Ward 2 – Shivajinagar,Drainage & Flooding,2024-09,12.9,N/A,No data found for 2023-09
Ward 2 – Shivajinagar,Drainage & Flooding,2024-10,11.5,N/A,No data found for 2023-10
Ward 2 – Shivajinagar,Drainage & Flooding,2024-11,10.4,N/A,No data found for 2023-11
Ward 2 – Shivajinagar,Drainage & Flooding,2024-12,8.4,N/A,No data found for 2023-12
