Ward,Category,Period,Actual Spend (Lakh),Growth,Formula
Ward 2 – Shivajinagar,Drainage & Flooding,2024-01,10.9,N/A,First period available; no prior data to compare.
Ward 2 – Shivajinagar,Drainage & Flooding,2024-02,10.4,-4.6%,(10.4 - 10.9) / 10.9 * 100
Ward 2 – Shivajinagar,Drainage & Flooding,2024-03,NULL,FLAGGED_NULL,NULL value detected due to: 'Data not submitted by ward office' — Computation Skipped
Ward 2 – Shivajinagar,Drainage & Flooding,2024-04,10.0,N/A,Previous month's value was NULL. Computation Skipped.
Ward 2 – Shivajinagar,Drainage & Flooding,2024-05,10.2,+2.0%,(10.2 - 10.0) / 10.0 * 100
Ward 2 – Shivajinagar,Drainage & Flooding,2024-06,12.3,+20.6%,(12.3 - 10.2) / 10.2 * 100
Ward 2 – Shivajinagar,Drainage & Flooding,2024-07,12.6,+2.4%,(12.6 - 12.3) / 12.3 * 100
Ward 2 – Shivajinagar,Drainage & Flooding,2024-08,12.8,+1.6%,(12.8 - 12.6) / 12.6 * 100
Ward 2 – Shivajinagar,Drainage & Flooding,2024-09,12.9,+0.8%,(12.9 - 12.8) / 12.8 * 100
Ward 2 – Shivajinagar,Drainage & Flooding,2024-10,11.5,-10.9%,(11.5 - 12.9) / 12.9 * 100
Ward 2 – Shivajinagar,Drainage & Flooding,2024-11,10.4,-9.6%,(10.4 - 11.5) / 11.5 * 100
Ward 2 – Shivajinagar,Drainage & Flooding,2024-12,8.4,-19.2%,(8.4 - 10.4) / 10.4 * 100
